"age_yrs","age_of_onset","Condition","log_frequency","ACC","rt","PartID","ItemID"
35,32,"Simple",4,0,628,"30","002"
26,22,"Simple",4,1,467,"31","002"
26,24,"Simple",4,1,583,"32","002"
22,20,"Simple",4,1,1044,"33","002"
28,26,"Simple",4,1,660,"34","002"
24,20,"Simple",4,1,606,"35","002"
25,23,"Simple",4,1,564,"36","002"
38,37,"Simple",4,1,990,"37","002"
22,19,"Simple",4,1,830,"38","002"
31,25,"Simple",4,1,456,"39","002"
23,20,"Simple",4,1,900,"40","002"
24,19,"Simple",4,1,515,"41","002"
35,32,"Simple",4,1,703,"42","002"
22,19,"Simple",4,1,606,"43","002"
31,26,"Simple",4,1,807,"44","002"
27,23,"Simple",4,1,745,"45","002"
24,20,"Simple",4,1,678,"46","002"
19,17,"Simple",4,1,434,"47","002"
20,18,"Simple",4,1,712,"48","002"
25,21,"Simple",4,1,804,"49","002"
36,34,"Simple",4,1,656,"50","002"
22,18,"Complex",2.7,1,1067,"01","003"
36,34,"Complex",2.7,1,1063,"02","003"
26,23,"Complex",2.7,1,1173,"03","003"
25,23,"Complex",2.7,0,1218,"04","003"
31,25,"Complex",2.7,0,439,"05","003"
31,29,"Complex",2.7,0,743,"06","003"
21,18,"Complex",2.7,0,895,"07","003"
24,22,"Complex",2.7,1,541,"08","003"
31,30,"Complex",2.7,0,788,"09","003"
32,29,"Complex",2.7,0,783,"10","003"
29,24,"Complex",2.7,1,980,"11","003"
29,27,"Complex",2.7,1,889,"12","003"
30,28,"Complex",2.7,1,1177,"13","003"
30,28,"Complex",2.7,1,1128,"14","003"
37,36,"Complex",2.7,0,962,"15","003"
36,32,"Complex",2.7,1,836,"16","003"
20,16,"Complex",2.7,1,1020,"17","003"
33,31,"Complex",2.7,0,697,"18","003"
38,36,"Complex",2.7,0,570,"19","003"
24,22,"Complex",2.7,1,1302,"20","003"
23,21,"Complex",2.7,1,430,"21","003"
18,15,"Complex",2.7,0,680,"22","003"
21,13,"Complex",2.7,1,748,"23","003"
20,19,"Complex",2.7,1,1199,"24","003"
23,21,"Complex",2.7,1,705,"25","003"
35,33,"Complex",2.7,1,634,"26","003"
31,28,"Complex",2.7,0,715,"27","003"
38,36,"Complex",2.7,1,789,"28","003"
30,27,"Complex",2.7,1,600,"29","003"
35,32,"Complex",2.7,0,517,"30","003"
26,22,"Complex",2.7,0,598,"31","003"
26,24,"Complex",2.7,0,722,"32","003"
22,20,"Complex",2.7,1,940,"33","003"
28,26,"Complex",2.7,0,885,"34","003"
24,20,"Complex",2.7,0,554,"35","003"
25,23,"Complex",2.7,0,777,"36","003"
38,37,"Complex",2.7,0,773,"37","003"
22,19,"Complex",2.7,1,846,"38","003"
31,25,"Complex",2.7,1,673,"39","003"
23,20,"Complex",2.7,1,838,"40","003"
24,19,"Complex",2.7,0,1069,"41","003"
35,32,"Complex",2.7,1,824,"42","003"
22,19,"Complex",2.7,1,984,"43","003"
31,26,"Complex",2.7,1,723,"44","003"
27,23,"Complex",2.7,1,1266,"45","003"
24,20,"Complex",2.7,1,943,"46","003"
19,17,"Complex",2.7,0,423,"47","003"
20,18,"Complex",2.7,0,945,"48","003"
25,21,"Complex",2.7,1,612,"49","003"
36,34,"Complex",2.7,1,873,"50","003"
22,18,"Complex",4.6,1,1216,"01","004"
36,34,"Complex",4.6,1,820,"02","004"
26,23,"Complex",4.6,1,1038,"03","004"
25,23,"Complex",4.6,1,978,"04","004"
31,25,"Complex",4.6,1,621,"05","004"
31,29,"Complex",4.6,1,567,"06","004"
21,18,"Complex",4.6,1,1144,"07","004"
24,22,"Complex",4.6,1,572,"08","004"
31,30,"Complex",4.6,1,709,"09","004"
32,29,"Complex",4.6,1,555,"10","004"
29,24,"Complex",4.6,1,586,"11","004"
29,27,"Complex",4.6,1,898,"12","004"
30,28,"Complex",4.6,1,920,"13","004"
30,28,"Complex",4.6,1,704,"14","004"
37,36,"Complex",4.6,1,1269,"15","004"
36,32,"Complex",4.6,1,1097,"16","004"
20,16,"Complex",4.6,1,948,"17","004"
33,31,"Complex",4.6,1,643,"18","004"
38,36,"Complex",4.6,1,593,"19","004"
24,22,"Complex",4.6,1,1276,"20","004"
23,21,"Complex",4.6,1,745,"21","004"
18,15,"Complex",4.6,1,773,"22","004"
21,13,"Complex",4.6,1,663,"23","004"
20,19,"Complex",4.6,1,867,"24","004"
23,21,"Complex",4.6,1,629,"25","004"
35,33,"Complex",4.6,0,870,"26","004"
31,28,"Complex",4.6,0,465,"27","004"
38,36,"Complex",4.6,1,1063,"28","004"
30,27,"Complex",4.6,0,646,"29","004"
35,32,"Complex",4.6,0,572,"30","004"
26,22,"Complex",4.6,0,557,"31","004"
26,24,"Complex",4.6,1,832,"32","004"
22,20,"Complex",4.6,1,798,"33","004"
28,26,"Complex",4.6,0,743,"34","004"
24,20,"Complex",4.6,1,685,"35","004"
25,23,"Complex",4.6,1,610,"36","004"
38,37,"Complex",4.6,1,1291,"37","004"
22,19,"Complex",4.6,1,987,"38","004"
31,25,"Complex",4.6,0,670,"39","004"
23,20,"Complex",4.6,1,1110,"40","004"
24,19,"Complex",4.6,0,526,"41","004"
35,32,"Complex",4.6,1,817,"42","004"
22,19,"Complex",4.6,1,949,"43","004"
31,26,"Complex",4.6,1,915,"44","004"
27,23,"Complex",4.6,0,722,"45","004"
24,20,"Complex",4.6,0,678,"46","004"
19,17,"Complex",4.6,1,539,"47","004"
20,18,"Complex",4.6,1,535,"48","004"
25,21,"Complex",4.6,1,665,"49","004"
36,34,"Complex",4.6,1,574,"50","004"
22,18,"Complex",5.7,1,786,"01","005"
36,34,"Complex",5.7,1,747,"02","005"
26,23,"Complex",5.7,1,788,"03","005"
25,23,"Complex",5.7,0,842,"04","005"
31,25,"Complex",5.7,0,534,"05","005"
31,29,"Complex",5.7,1,477,"06","005"
21,18,"Complex",5.7,1,891,"07","005"
24,22,"Complex",5.7,1,570,"08","005"
31,30,"Complex",5.7,1,659,"09","005"
32,29,"Complex",5.7,1,618,"10","005"
29,24,"Complex",5.7,0,681,"11","005"
29,27,"Complex",5.7,1,724,"12","005"
30,28,"Complex",5.7,1,565,"13","005"
30,28,"Complex",5.7,1,679,"14","005"
37,36,"Complex",5.7,1,831,"15","005"
36,32,"Complex",5.7,1,723,"16","005"
20,16,"Complex",5.7,1,693,"17","005"
33,31,"Complex",5.7,0,502,"18","005"
38,36,"Complex",5.7,0,571,"19","005"
24,22,"Complex",5.7,1,968,"20","005"
23,21,"Complex",5.7,1,583,"21","005"
18,15,"Complex",5.7,0,637,"22","005"
21,13,"Complex",5.7,1,855,"23","005"
20,19,"Complex",5.7,1,623,"24","005"
23,21,"Complex",5.7,1,726,"25","005"
35,33,"Complex",5.7,1,862,"26","005"
31,28,"Complex",5.7,0,520,"27","005"
38,36,"Complex",5.7,1,748,"28","005"
30,27,"Complex",5.7,0,469,"29","005"
35,32,"Complex",5.7,1,706,"30","005"
26,22,"Complex",5.7,0,518,"31","005"
26,24,"Complex",5.7,0,480,"32","005"
22,20,"Complex",5.7,1,678,"33","005"
28,26,"Complex",5.7,0,582,"34","005"
24,20,"Complex",5.7,0,739,"35","005"
25,23,"Complex",5.7,0,552,"36","005"
38,37,"Complex",5.7,1,658,"37","005"
22,19,"Complex",5.7,1,782,"38","005"
31,25,"Complex",5.7,1,548,"39","005"
23,20,"Complex",5.7,1,538,"40","005"
24,19,"Complex",5.7,1,551,"41","005"
35,32,"Complex",5.7,1,785,"42","005"
22,19,"Complex",5.7,1,713,"43","005"
31,26,"Complex",5.7,1,714,"44","005"
27,23,"Complex",5.7,0,592,"45","005"
24,20,"Complex",5.7,1,656,"46","005"
19,17,"Complex",5.7,0,499,"47","005"
20,18,"Complex",5.7,1,433,"48","005"
25,21,"Complex",5.7,1,843,"49","005"
36,34,"Complex",5.7,0,545,"50","005"
22,18,"Complex",1.4,1,728,"01","006"
36,34,"Complex",1.4,0,758,"02","006"
26,23,"Complex",1.4,1,949,"03","006"
25,23,"Complex",1.4,1,813,"04","006"
31,25,"Complex",1.4,0,724,"05","006"
31,29,"Complex",1.4,0,921,"06","006"
21,18,"Complex",1.4,1,1535,"07","006"
24,22,"Complex",1.4,0,560,"08","006"
31,30,"Complex",1.4,1,759,"09","006"
32,29,"Complex",1.4,0,1124,"10","006"
29,24,"Complex",1.4,0,619,"11","006"
29,27,"Complex",1.4,1,1220,"12","006"
30,28,"Complex",1.4,1,925,"13","006"
30,28,"Complex",1.4,1,1641,"14","006"
37,36,"Complex",1.4,1,1238,"15","006"
36,32,"Complex",1.4,1,843,"16","006"
20,16,"Complex",1.4,0,692,"17","006"
33,31,"Complex",1.4,0,481,"18","006"
38,36,"Complex",1.4,0,883,"19","006"
24,22,"Complex",1.4,1,1960,"20","006"
23,21,"Complex",1.4,0,898,"21","006"
18,15,"Complex",1.4,1,921,"22","006"
21,13,"Complex",1.4,1,738,"23","006"
20,19,"Complex",1.4,1,884,"24","006"
23,21,"Complex",1.4,1,913,"25","006"
35,33,"Complex",1.4,1,827,"26","006"
31,28,"Complex",1.4,1,712,"27","006"
38,36,"Complex",1.4,1,977,"28","006"
30,27,"Complex",1.4,0,567,"29","006"
35,32,"Complex",1.4,0,781,"30","006"
26,22,"Complex",1.4,0,610,"31","006"
26,24,"Complex",1.4,0,966,"32","006"
22,20,"Complex",1.4,1,1140,"33","006"
28,26,"Complex",1.4,0,657,"34","006"
24,20,"Complex",1.4,0,734,"35","006"
25,23,"Complex",1.4,0,602,"36","006"
38,37,"Complex",1.4,0,1435,"37","006"
22,19,"Complex",1.4,0,958,"38","006"
31,25,"Complex",1.4,0,867,"39","006"
23,20,"Complex",1.4,0,984,"40","006"
24,19,"Complex",1.4,0,655,"41","006"
35,32,"Complex",1.4,1,1276,"42","006"
22,19,"Complex",1.4,0,1007,"43","006"
31,26,"Complex",1.4,1,1451,"44","006"
27,23,"Complex",1.4,0,1042,"45","006"
24,20,"Complex",1.4,1,966,"46","006"
19,17,"Complex",1.4,0,648,"47","006"
20,18,"Complex",1.4,0,850,"48","006"
25,21,"Complex",1.4,0,912,"49","006"
36,34,"Complex",1.4,1,606,"50","006"
22,18,"Simple",2.2,1,842,"01","007"
36,34,"Simple",2.2,1,562,"02","007"
26,23,"Simple",2.2,1,800,"03","007"
25,23,"Simple",2.2,1,666,"04","007"
31,25,"Simple",2.2,1,481,"05","007"
31,29,"Simple",2.2,0,554,"06","007"
21,18,"Simple",2.2,0,562,"07","007"
24,22,"Simple",2.2,0,723,"08","007"
31,30,"Simple",2.2,1,601,"09","007"
32,29,"Simple",2.2,1,462,"10","007"
29,24,"Simple",2.2,1,698,"11","007"
29,27,"Simple",2.2,1,1213,"12","007"
30,28,"Simple",2.2,1,700,"13","007"
30,28,"Simple",2.2,1,476,"14","007"
37,36,"Simple",2.2,1,855,"15","007"
36,32,"Simple",2.2,1,656,"16","007"
20,16,"Simple",2.2,0,773,"17","007"
33,31,"Simple",2.2,0,450,"18","007"
38,36,"Simple",2.2,1,552,"19","007"
24,22,"Simple",2.2,1,721,"20","007"
23,21,"Simple",2.2,0,554,"21","007"
18,15,"Simple",2.2,1,578,"22","007"
21,13,"Simple",2.2,1,842,"23","007"
20,19,"Simple",2.2,0,1251,"24","007"
23,21,"Simple",2.2,0,669,"25","007"
35,33,"Simple",2.2,0,541,"26","007"
31,28,"Simple",2.2,1,678,"27","007"
38,36,"Simple",2.2,1,671,"28","007"
30,27,"Simple",2.2,0,535,"29","007"
35,32,"Simple",2.2,0,441,"30","007"
26,22,"Simple",2.2,1,444,"31","007"
26,24,"Simple",2.2,0,466,"32","007"
22,20,"Simple",2.2,1,1052,"33","007"
28,26,"Simple",2.2,0,467,"34","007"
24,20,"Simple",2.2,1,779,"35","007"
25,23,"Simple",2.2,1,551,"36","007"
38,37,"Simple",2.2,0,721,"37","007"
22,19,"Simple",2.2,0,546,"38","007"
31,25,"Simple",2.2,1,715,"39","007"
23,20,"Simple",2.2,1,1233,"40","007"
24,19,"Simple",2.2,0,632,"41","007"
35,32,"Simple",2.2,1,550,"42","007"
22,19,"Simple",2.2,0,830,"43","007"
31,26,"Simple",2.2,1,497,"44","007"
27,23,"Simple",2.2,0,721,"45","007"
24,20,"Simple",2.2,1,648,"46","007"
19,17,"Simple",2.2,0,638,"47","007"
20,18,"Simple",2.2,0,622,"48","007"
25,21,"Simple",2.2,1,637,"49","007"
36,34,"Simple",2.2,1,652,"50","007"
22,18,"Complex",2.8,0,868,"01","008"
36,34,"Complex",2.8,0,901,"02","008"
26,23,"Complex",2.8,1,912,"03","008"
25,23,"Complex",2.8,1,955,"04","008"
31,25,"Complex",2.8,0,672,"05","008"
31,29,"Complex",2.8,0,666,"06","008"
21,18,"Complex",2.8,1,1214,"07","008"
24,22,"Complex",2.8,1,657,"08","008"
31,30,"Complex",2.8,0,681,"09","008"
32,29,"Complex",2.8,1,972,"10","008"
29,24,"Complex",2.8,1,817,"11","008"
29,27,"Complex",2.8,1,1113,"12","008"
30,28,"Complex",2.8,1,748,"13","008"
30,28,"Complex",2.8,1,889,"14","008"
37,36,"Complex",2.8,0,919,"15","008"
36,32,"Complex",2.8,1,1051,"16","008"
20,16,"Complex",2.8,1,1105,"17","008"
33,31,"Complex",2.8,0,669,"18","008"
38,36,"Complex",2.8,1,553,"19","008"
24,22,"Complex",2.8,1,840,"20","008"
23,21,"Complex",2.8,0,571,"21","008"
18,15,"Complex",2.8,1,682,"22","008"
21,13,"Complex",2.8,1,1052,"23","008"
20,19,"Complex",2.8,1,916,"24","008"
23,21,"Complex",2.8,0,720,"25","008"
35,33,"Complex",2.8,1,979,"26","008"
31,28,"Complex",2.8,0,675,"27","008"
38,36,"Complex",2.8,1,1016,"28","008"
30,27,"Complex",2.8,0,506,"29","008"
35,32,"Complex",2.8,0,696,"30","008"
26,22,"Complex",2.8,0,547,"31","008"
26,24,"Complex",2.8,0,595,"32","008"
22,20,"Complex",2.8,1,923,"33","008"
28,26,"Complex",2.8,0,525,"34","008"
24,20,"Complex",2.8,1,845,"35","008"
25,23,"Complex",2.8,0,627,"36","008"
38,37,"Complex",2.8,1,576,"37","008"
22,19,"Complex",2.8,0,796,"38","008"
31,25,"Complex",2.8,0,436,"39","008"
23,20,"Complex",2.8,1,545,"40","008"
24,19,"Complex",2.8,0,550,"41","008"
35,32,"Complex",2.8,1,1001,"42","008"
22,19,"Complex",2.8,1,1130,"43","008"
31,26,"Complex",2.8,1,860,"44","008"
27,23,"Complex",2.8,1,1014,"45","008"
24,20,"Complex",2.8,0,963,"46","008"
19,17,"Complex",2.8,0,483,"47","008"
20,18,"Complex",2.8,1,737,"48","008"
25,21,"Complex",2.8,1,927,"49","008"
36,34,"Complex",2.8,1,745,"50","008"
22,18,"Complex",2.6,1,1380,"01","009"
36,34,"Complex",2.6,1,1056,"02","009"
26,23,"Complex",2.6,1,1040,"03","009"
25,23,"Complex",2.6,1,1363,"04","009"
31,25,"Complex",2.6,0,627,"05","009"
31,29,"Complex",2.6,0,1100,"06","009"
21,18,"Complex",2.6,1,889,"07","009"
24,22,"Complex",2.6,1,818,"08","009"
31,30,"Complex",2.6,1,1333,"09","009"
32,29,"Complex",2.6,0,814,"10","009"
29,24,"Complex",2.6,0,891,"11","009"
29,27,"Complex",2.6,1,899,"12","009"
30,28,"Complex",2.6,0,741,"13","009"
30,28,"Complex",2.6,1,895,"14","009"
37,36,"Complex",2.6,0,998,"15","009"
36,32,"Complex",2.6,1,710,"16","009"
20,16,"Complex",2.6,0,1195,"17","009"
33,31,"Complex",2.6,0,587,"18","009"
38,36,"Complex",2.6,0,886,"19","009"
24,22,"Complex",2.6,1,1754,"20","009"
23,21,"Complex",2.6,0,781,"21","009"
18,15,"Complex",2.6,1,677,"22","009"
21,13,"Complex",2.6,1,678,"23","009"
20,19,"Complex",2.6,0,1144,"24","009"
23,21,"Complex",2.6,0,938,"25","009"
35,33,"Complex",2.6,1,743,"26","009"
31,28,"Complex",2.6,0,608,"27","009"
38,36,"Complex",2.6,1,833,"28","009"
30,27,"Complex",2.6,1,486,"29","009"
35,32,"Complex",2.6,0,646,"30","009"
26,22,"Complex",2.6,0,484,"31","009"
26,24,"Complex",2.6,1,630,"32","009"
22,20,"Complex",2.6,1,927,"33","009"
28,26,"Complex",2.6,1,596,"34","009"
24,20,"Complex",2.6,0,951,"35","009"
25,23,"Complex",2.6,0,618,"36","009"
38,37,"Complex",2.6,1,903,"37","009"
22,19,"Complex",2.6,1,1130,"38","009"
31,25,"Complex",2.6,0,763,"39","009"
23,20,"Complex",2.6,1,710,"40","009"
24,19,"Complex",2.6,0,732,"41","009"
35,32,"Complex",2.6,1,733,"42","009"
22,19,"Complex",2.6,1,774,"43","009"
31,26,"Complex",2.6,0,930,"44","009"
27,23,"Complex",2.6,1,865,"45","009"
24,20,"Complex",2.6,0,843,"46","009"
19,17,"Complex",2.6,0,478,"47","009"
20,18,"Complex",2.6,1,587,"48","009"
25,21,"Complex",2.6,1,911,"49","009"
36,34,"Complex",2.6,0,779,"50","009"
22,18,"Complex",3.1,1,826,"01","010"
36,34,"Complex",3.1,1,828,"02","010"
26,23,"Complex",3.1,1,973,"03","010"
25,23,"Complex",3.1,1,1093,"04","010"
31,25,"Complex",3.1,0,552,"05","010"
31,29,"Complex",3.1,1,880,"06","010"
21,18,"Complex",3.1,1,1337,"07","010"
24,22,"Complex",3.1,0,462,"08","010"
31,30,"Complex",3.1,0,1641,"09","010"
32,29,"Complex",3.1,1,554,"10","010"
29,24,"Complex",3.1,0,631,"11","010"
29,27,"Complex",3.1,1,1484,"12","010"
30,28,"Complex",3.1,1,938,"13","010"
30,28,"Complex",3.1,0,795,"14","010"
37,36,"Complex",3.1,1,740,"15","010"
36,32,"Complex",3.1,1,709,"16","010"
20,16,"Complex",3.1,1,884,"17","010"
33,31,"Complex",3.1,0,565,"18","010"
38,36,"Complex",3.1,1,743,"19","010"
24,22,"Complex",3.1,1,1235,"20","010"
23,21,"Complex",3.1,0,606,"21","010"
18,15,"Complex",3.1,1,618,"22","010"
21,13,"Complex",3.1,1,554,"23","010"
20,19,"Complex",3.1,0,1248,"24","010"
23,21,"Complex",3.1,0,680,"25","010"
35,33,"Complex",3.1,1,1204,"26","010"
31,28,"Complex",3.1,1,594,"27","010"
38,36,"Complex",3.1,1,699,"28","010"
30,27,"Complex",3.1,0,685,"29","010"
35,32,"Complex",3.1,0,556,"30","010"
26,22,"Complex",3.1,0,599,"31","010"
26,24,"Complex",3.1,0,466,"32","010"
22,20,"Complex",3.1,1,941,"33","010"
28,26,"Complex",3.1,0,567,"34","010"
24,20,"Complex",3.1,0,591,"35","010"
25,23,"Complex",3.1,0,654,"36","010"
38,37,"Complex",3.1,1,1192,"37","010"
22,19,"Complex",3.1,0,738,"38","010"
31,25,"Complex",3.1,1,481,"39","010"
23,20,"Complex",3.1,0,954,"40","010"
24,19,"Complex",3.1,1,822,"41","010"
35,32,"Complex",3.1,1,1001,"42","010"
22,19,"Complex",3.1,0,583,"43","010"
31,26,"Complex",3.1,1,691,"44","010"
27,23,"Complex",3.1,1,602,"45","010"
24,20,"Complex",3.1,0,743,"46","010"
19,17,"Complex",3.1,0,591,"47","010"
20,18,"Complex",3.1,0,727,"48","010"
25,21,"Complex",3.1,1,915,"49","010"
36,34,"Complex",3.1,0,1157,"50","010"
22,18,"Complex",3.5,0,611,"01","011"
36,34,"Complex",3.5,0,906,"02","011"
26,23,"Complex",3.5,0,708,"03","011"
25,23,"Complex",3.5,0,857,"04","011"
31,25,"Complex",3.5,1,567,"05","011"
31,29,"Complex",3.5,0,479,"06","011"
21,18,"Complex",3.5,1,946,"07","011"
24,22,"Complex",3.5,0,517,"08","011"
31,30,"Complex",3.5,0,1007,"09","011"
32,29,"Complex",3.5,0,465,"10","011"
29,24,"Complex",3.5,0,704,"11","011"
29,27,"Complex",3.5,0,772,"12","011"
30,28,"Complex",3.5,0,644,"13","011"
30,28,"Complex",3.5,1,499,"14","011"
37,36,"Complex",3.5,0,935,"15","011"
36,32,"Complex",3.5,1,847,"16","011"
20,16,"Complex",3.5,0,829,"17","011"
33,31,"Complex",3.5,0,695,"18","011"
38,36,"Complex",3.5,0,652,"19","011"
24,22,"Complex",3.5,1,842,"20","011"
23,21,"Complex",3.5,0,643,"21","011"
18,15,"Complex",3.5,0,570,"22","011"
21,13,"Complex",3.5,1,881,"23","011"
20,19,"Complex",3.5,1,871,"24","011"
23,21,"Complex",3.5,1,479,"25","011"
35,33,"Complex",3.5,0,526,"26","011"
31,28,"Complex",3.5,0,457,"27","011"
38,36,"Complex",3.5,1,548,"28","011"
30,27,"Complex",3.5,0,505,"29","011"
35,32,"Complex",3.5,1,474,"30","011"
26,22,"Complex",3.5,0,550,"31","011"
26,24,"Complex",3.5,0,543,"32","011"
22,20,"Complex",3.5,0,1036,"33","011"
28,26,"Complex",3.5,0,761,"34","011"
24,20,"Complex",3.5,1,586,"35","011"
25,23,"Complex",3.5,0,587,"36","011"
38,37,"Complex",3.5,0,702,"37","011"
22,19,"Complex",3.5,1,621,"38","011"
31,25,"Complex",3.5,0,600,"39","011"
23,20,"Complex",3.5,1,624,"40","011"
24,19,"Complex",3.5,1,495,"41","011"
35,32,"Complex",3.5,1,836,"42","011"
22,19,"Complex",3.5,1,683,"43","011"
31,26,"Complex",3.5,1,587,"44","011"
27,23,"Complex",3.5,1,964,"45","011"
24,20,"Complex",3.5,0,785,"46","011"
19,17,"Complex",3.5,0,625,"47","011"
20,18,"Complex",3.5,0,619,"48","011"
25,21,"Complex",3.5,1,777,"49","011"
36,34,"Complex",3.5,0,743,"50","011"
22,18,"Simple",4.1,1,715,"01","012"
36,34,"Simple",4.1,1,797,"02","012"
26,23,"Simple",4.1,1,649,"03","012"
25,23,"Simple",4.1,1,808,"04","012"
31,25,"Simple",4.1,1,509,"05","012"
31,29,"Simple",4.1,1,582,"06","012"
21,18,"Simple",4.1,1,569,"07","012"
24,22,"Simple",4.1,0,480,"08","012"
31,30,"Simple",4.1,1,663,"09","012"
32,29,"Simple",4.1,1,486,"10","012"
29,24,"Simple",4.1,1,650,"11","012"
29,27,"Simple",4.1,1,887,"12","012"
30,28,"Simple",4.1,1,815,"13","012"
30,28,"Simple",4.1,1,708,"14","012"
37,36,"Simple",4.1,1,734,"15","012"
36,32,"Simple",4.1,1,660,"16","012"
20,16,"Simple",4.1,1,753,"17","012"
33,31,"Simple",4.1,0,731,"18","012"
38,36,"Simple",4.1,1,797,"19","012"
24,22,"Simple",4.1,1,1058,"20","012"
23,21,"Simple",4.1,1,917,"21","012"
18,15,"Simple",4.1,1,844,"22","012"
21,13,"Simple",4.1,1,858,"23","012"
20,19,"Simple",4.1,1,1074,"24","012"
23,21,"Simple",4.1,1,640,"25","012"
35,33,"Simple",4.1,1,638,"26","012"
31,28,"Simple",4.1,0,656,"27","012"
38,36,"Simple",4.1,1,746,"28","012"
30,27,"Simple",4.1,1,592,"29","012"
35,32,"Simple",4.1,0,579,"30","012"
26,22,"Simple",4.1,1,451,"31","012"
26,24,"Simple",4.1,1,598,"32","012"
22,20,"Simple",4.1,1,693,"33","012"
28,26,"Simple",4.1,0,467,"34","012"
24,20,"Simple",4.1,0,612,"35","012"
25,23,"Simple",4.1,1,676,"36","012"
38,37,"Simple",4.1,1,796,"37","012"
22,19,"Simple",4.1,1,710,"38","012"
31,25,"Simple",4.1,1,429,"39","012"
23,20,"Simple",4.1,1,592,"40","012"
24,19,"Simple",4.1,1,588,"41","012"
35,32,"Simple",4.1,1,682,"42","012"
22,19,"Simple",4.1,1,743,"43","012"
31,26,"Simple",4.1,1,1028,"44","012"
27,23,"Simple",4.1,1,877,"45","012"
24,20,"Simple",4.1,1,613,"46","012"
19,17,"Simple",4.1,1,526,"47","012"
20,18,"Simple",4.1,0,582,"48","012"
25,21,"Simple",4.1,1,749,"49","012"
36,34,"Simple",4.1,1,566,"50","012"
22,18,"Simple",3.9,1,537,"01","013"
36,34,"Simple",3.9,1,656,"02","013"
26,23,"Simple",3.9,0,619,"03","013"
25,23,"Simple",3.9,1,547,"04","013"
31,25,"Simple",3.9,1,451,"05","013"
31,29,"Simple",3.9,0,564,"06","013"
